"","","Male","","","Female","",""
"Major","Total","Total Male Employment","Employed","Unemployed","Total Female Employment","Employed","Unemployed"
"Nursing","2560700","309307","303124","6183","2251393","2214706","36687"
"Pharmacy Pharmaceutical Sciences And Administration","278251","127067","123891","3176","151184","147318","3866"
"Treatment Therapy Professions","426276","125547","122523","3024","300729","294224","6505"
"Community And Public Health","180336","45464","42838","2626","134872","129749","5123"
"Miscellaneous Health Medical Professions","130259","24548","23779","769","105711","102790","2921"
"General Business","2634111","1601984","1551182","50802","1032127","998759","33368"
"Accounting","2213691","1108441","1077937","30504","1105250","1075082","30168"
"Actuarial Science","24529","15209","14526","683","9320","8951","369"
"Business Management And Administration","3568854","1961848","1898261","63587","1607006","1551213","55793"
"Operations Logistics And E-Commerce","139279","94861","92297","2564","44418","43236","1182"
"Business Economics","106827","72225","69775","2450","34602","33273","1329"
"Marketing And Marketing Research","1375190","643322","620290","23032","731868","705610","26258"
"Finance","1360494","930744","904287","26457","429750","416330","13420"
"Human Resources And Personnel Management","281611","88836","86044","2792","192775","186013","6762"
"International Business","159978","76323","73836","2487","83655","80018","3637"
"Hospitality Management","291356","116423","112003","4420","174933","167439","7494"
"Management Information Systems And Statistics","262939","180046","174384","5662","82893","80201","2692"
"Miscellaneous Business and Medical Administration","154333","90598","87043","3555","63735","61242","2493"
"History","1120255","717791","695093","22698","402464","390417","12047"
"United States History","23196","15658","15111","547","7538","7344","194"
